id_pessoa,idade_pessoa,renda_pessoa,propriedade_residencial_pessoa,tempo_emprego_pessoa,id_emprestimo,motivo_emprestimo,nota_emprestimo,quantia_emprestimo,taxa_emprestimo,status_emprestimo,percentual_renda_emprestimo,id_banco,existencia_inadimplencia_banco,tempo_primeiro_credito_banco
8b5caH2B-xpiM,46.0000,80000.0000,Mortgage,8,FmGcdv7M-ZIg8,Venture,B,5000.0000,11.86,0,0.06,pYQuQ7Cz-IAJh,N,15.0000
JQ5Ak42k-FPCW,27.0000,110000.0000,Mortgage,3,fxslUJlm-nOgD,Medical,A,4800.0000,7.74,0,0.04,kooL1Skg-Cgia,N,7.0000
kQQeca2S-ffk0,23.0000,57600.0000,Rent,3,jXh7k5gN-biw0,Venture,D,10000.0000,15.58,0,0.17,olg28RQi-d6OY,Y,4.0000
B7Bwy0bI-LFeT,23.0000,48000.0000,Rent,3,MpWCxnpz-12FN,Medical,A,4800.0000,5.42,0,0.1,GCm9wr3b-2Pvm,N,3.0000
X37IRs9S-wl0A,23.0000,98280.0000,Mortgage,7,FW5qnhkC-QCDv,Personal,A,9400.0000,6.62,0,0.1,93u6RjHO-B9qA,N,3.0000
JTDL4rdY-ZX45,28.0000,30000.0000,Rent,0,pw1D8xS2-dvfH,Personal,B,8400.0000,11.89,0,0.28,dctkd8zk-uYR6,N,10.0000
HbrydfnA-9ICw,31.0000,37000.0000,Mortgage,12,FFlqdskU-IB8N,Debtconsolidation,C,22000.0000,12.73,0,0.59,Xd1j7BSM-wXP7,Y,7.0000
qit5xohQ-TqnJ,22.0000,21600.0000,Own,5,QnbGAgz0-bPvz,Personal,A,5000.0000,7.9,0,0.23,DLpc52HC-1NYz,N,3.0000
gBGhZQCP-fvPe,27.0000,64000.0000,Rent,3,yskrCuGZ-eQ27,Personal,A,3600.0000,7.49,1,0.06,ucQH7loD-C8C0,N,5.0000
9FDLodgY-Lpzf,23.0000,60000.0000,Own,2,H9LosMN1-QPaH,Medical,D,18500.0000,15.33,0,0.31,87qA8hsK-BDXZ,N,2.0000
UDZ9CDbf-rovD,22.0000,50000.0000,Mortgage,6,hx1IYI6j-BSJE,Venture,A,7800.0000,6.62,0,0.16,b3SE1FPo-27a4,N,2.0000
DdWlM117-ak62,24.0000,39000.0000,Rent,0,jWGSXAJI-eyvO,Medical,D,3000.0000,14.61,1,0.08,rJXOeRDr-R6MB,Y,4.0000
gnEgOIEj-8ato,22.0000,32000.0000,Rent,2,LhOctYN4-la2N,Venture,C,10000.0000,13.22,1,0.31,TfUlan3h-KTk5,N,3.0000
Ke9GAsjD-4ICN,33.0000,59000.0000,Rent,17,OXFo4pfx-G9Rd,Medical,B,9600.0000,9.91,0,0.16,p25AZZxp-C9Dd,N,8.0000
9DIN9EgY-RIeS,25.0000,65000.0000,Rent,3,bqqMkyuP-ON0X,Personal,D,18000.0000,15.33,1,0.28,jgbx81Mm-8h8x,N,4.0000
jgejgj4Q-T2mX,24.0000,70000.0000,Mortgage,4,Qd1z2fzs-XCRq,Education,B,21000.0000,11.99,0,0.3,nwNw9KhT-xSE4,N,4.0000
Ml1kmqQC-B7Od,33.0000,56400.0000,Mortgage,3,KSDquwLK-pPsr,Education,B,8500.0000,12.42,1,0.15,IUNxXWWk-QJHC,N,6.0000
zjfoYKKD-w0MI,24.0000,88000.0000,Mortgage,2,bkkFivp2-MCQn,Personal,A,8000.0000,5.99,0,0.09,qKflXH8K-hwKH,N,4.0000
sPhRnadI-m5WM,25.0000,75600.0000,Mortgage,7,SBWNH4Nf-qE4I,Medical,C,15000.0000,12.68,0,0.2,9D2I8rvA-NoCA,N,2.0000
K7zoRhxn-eb7l,28.0000,20292.0000,Rent,3,lRo3zwU2-PRH7,Venture,B,3900.0000,12.53,0,0.19,0Rqls6p8-2YNy,N,9.0000
x3oR45Uy-UhsU,33.0000,59000.0000,Mortgage,6,A1sul6fL-Hrqy,Homeimprovement,B,5500.0000,9.91,0,0.09,qINadLtE-fSzR,N,9.0000
r3l5Cqbs-NwmR,23.0000,45000.0000,Mortgage,2,eT2Ct2mI-A3jW,Debtconsolidation,A,6000.0000,7.49,0,0.13,C2kMBDrT-rrS8,N,3.0000
UJdC5KZu-plFs,36.0000,42000.0000,Rent,1,BnaYytrJ-t7HD,Education,A,21000.0000,7.49,1,0.5,K167S7O2-Fl8c,N,11.0000
W6OrWN06-2MAy,31.0000,64900.0000,Rent,2,np9awxxf-u2ab,Medical,A,10000.0000,7.66,0,0.15,iYK0xidJ-lBDt,N,5.0000
viQ4srke-hNLs,21.0000,65000.0000,Mortgage,5,6F2GWLjZ-gCOl,Debtconsolidation,B,2200.0000,12.42,0,0.03,pG3NluL7-P3CN,N,3.0000
DPxYM55y-FcCU,53.0000,85000.0000,Rent,2,mo0Oz4l8-phqw,Personal,A,8000.0000,7.74,0,0.09,2u346UE7-6ryr,N,26.0000
YtmkENeR-lmvb,23.0000,25596.0000,Rent,2,v6F8fsoo-xC17,Medical,B,4500.0000,9.99,0,0.18,f61fAsw5-eBhF,N,4.0000
cbWvHOZa-FygL,22.0000,50000.0000,Rent,7,HojZL354-uFr3,Medical,A,4000.0000,7.4,0,0.08,gZuKNU7S-uXdO,N,2.0000
lR4RN8mu-fPga,22.0000,29004.0000,Mortgage,6,OAWsP7aY-dwDy,Education,A,2500.0000,6.91,0,0.09,XeKWY3Sp-zTrm,N,3.0000
XGrCoDSO-o1xh,22.0000,41000.0000,Rent,2,Xf5yXYgw-c8Dj,Debtconsolidation,D,3600.0000,16.77,1,0.09,wnkIY26E-YjPD,Y,3.0000
dm36E1cl-Q8CF,31.0000,75000.0000,Rent,5,w2MfCDxt-qn7v,Debtconsolidation,B,15000.0000,12.69,0,0.2,2hhEhbYF-149Q,N,5.0000
7jxqJIuP-I1OS,26.0000,27000.0000,Mortgage,4.787874228975478,h061JUJS-ssbb,Debtconsolidation,A,3000.0000,5.79,0,0.11,NDJXG9sO-ddFT,N,3.0000
hwapvLIF-2PAR,24.0000,30000.0000,Rent,2,SLA0hIlF-8bIC,Debtconsolidation,C,3350.0000,14.72,0,0.11,6KPB36jm-wtW8,Y,2.0000
IorcgtE5-QekT,33.0000,38400.0000,Rent,6,O4Clqqu0-ZJ44,Medical,B,10500.0000,11.99,0,0.27,fRxIdKZk-pHL2,N,8.0000
D2Ls1bE2-6p1T,40.0000,81120.0000,Mortgage,1,akcQLWec-H9s3,Education,B,24000.0000,9.25,0,0.3,vb1wahP1-DxUp,N,15.0000
rNayD1WP-AOas,22.0000,71500.0000,Rent,2,jgMChu6B-hhQX,Education,C,6400.0000,13.11,0,0.09,o0dJTk3w-6WzR,Y,2.0000
miY6B7cI-LZul,29.0000,105000.0000,Mortgage,11,bd2QpytU-DnDz,Homeimprovement,D,15000.0000,14.42,0,0.14,tPzOGA4K-DJbY,Y,5.0000
fi5GAb2C-ONmG,28.0000,62000.0000,Rent,4,HQ9biDtC-bare,Personal,C,7200.0000,12.99,0,0.12,K0rkrvkn-mQhs,Y,9.0000
ToIZryHX-ZcX8,27.0000,32500.0000,Own,3,13YbkSU7-3Ugy,Personal,A,5000.0000,6.62,0,0.15,yorxrujQ-ezKi,N,8.0000
4r0gkvs0-1A9y,26.0000,85000.0000,Mortgage,8,mj1m2ex4-dikh,Medical,A,15000.0000,7.88,0,0.18,kQnkKSED-jJkb,N,4.0000
O5mzA8KN-wtKC,35.0000,273700.0000,Mortgage,8,LMaq9jH1-vlN0,Medical,D,25000.0000,14.59,1,0.08,ynZydWAO-txtl,N,6.0000
qTFEBiKS-PloR,24.0000,61200.0000,Mortgage,8,t6NlTz2B-WrGl,Education,C,2500.0000,11.013104465037149,1,0.04,Pzg5SeCX-uJyr,N,4.0000
ZciGAj68-TQgU,22.0000,21120.0000,Mortgage,3,B6LKqGw3-M7o5,Debtconsolidation,D,1625.0000,16.89,1,0.08,3yHhWhrM-EaIu,Y,3.0000
EWWUAeo3-Mdz0,29.0000,35000.0000,Rent,1,EkojReJB-xEDi,Debtconsolidation,A,10625.0000,7.9,0,0.3,TJ695oYa-3NnU,N,8.0000
1jgsPcmz-AtYM,43.0000,60000.0000,Mortgage,27,mvDYQ8Db-JIKP,Homeimprovement,B,10000.0000,9.88,0,0.17,6K2OhjWw-DBYE,N,16.0000
nf2cYR8g-MgSp,24.0000,49232.0000,Rent,8,gp7W8s0h-4AkX,Education,A,8500.0000,6.54,0,0.17,9MX3jpeX-FNdL,N,4.0000
CIgpq6zv-ivZ4,24.0000,80400.0000,Mortgage,5,L1PAn5bR-2DEl,Personal,A,12000.0000,5.79,0,0.15,jbs6YNEk-hd8H,N,2.0000
o5OjKYfk-8p82,21.0000,18000.0000,Rent,2,d53XU5bS-x9mu,Debtconsolidation,C,5800.0000,14.72,1,0.32,gP0CxJJB-ckBQ,Y,4.0000
dwROYi6i-SmMO,42.0000,60000.0000,Rent,3,9zl5tAXr-dhxA,Homeimprovement,A,7200.0000,5.79,0,0.12,LRmlhXBA-3eH7,N,11.0000
CEWhSAoE-iCzZ,27.0000,113800.0000,Mortgage,3,DfhTWaiF-brp9,Medical,A,7500.0000,8.63,0,0.07,B0x1PCB4-elXn,N,10.0000
Q7EDyO67-LI4X,31.0000,190000.0000,Own,8,bqikDm84-fSMv,Education,A,15000.0000,6.03,0,0.08,I0bHATPC-yIXP,N,8.0000
0xbUO6dd-m6fa,38.0000,34296.0000,Own,1,s87imLzQ-ic3J,Medical,C,12000.0000,11.013104465037149,0,0.35,rQWBHM5n-UsKc,Y,12.0000
Q6Ky6UtP-7hjb,30.0000,67000.0000,Mortgage,6,arAp8q1t-Ki9W,Homeimprovement,A,10000.0000,6.99,0,0.15,PIbtCvUw-qf3K,N,6.0000
5xFFGpif-iNuX,24.0000,55782.0000,Rent,3,0tysTvkP-b0vw,Debtconsolidation,A,17000.0000,7.51,0,0.3,HW40bXI9-5K4W,N,3.0000
RjwQe0Pu-1Ttd,36.0000,79200.0000,Mortgage,19,7eY58xcX-eeix,Personal,A,10000.0000,6.03,0,0.13,LaOnFKWd-peoD,N,14.0000
F4kxPNWL-j8LK,34.0000,143150.0000,Mortgage,0,HNFlbE0t-zi72,Venture,A,12000.0000,9.32,0,0.08,SuRLahkb-hSlL,N,6.0000
RDHeYDmM-cKxs,29.0000,40000.0000,Mortgage,8,nKJCUjak-mYFC,Debtconsolidation,A,8000.0000,8.59,0,0.2,UHotfKRa-y9ZL,N,9.0000
NciBWG2b-da5O,27.0000,32890.0000,Rent,5,EHiUKMXP-JBzG,Education,B,10000.0000,10.95,0,0.3,BM10IWQp-xZ7i,N,5.0000
lvzTqo8e-r7BJ,32.0000,85000.0000,Rent,7,2hpumX4i-XgIK,Debtconsolidation,B,6000.0000,11.71,0,0.07,gG6zRccB-QEYq,N,5.0000
MY8FOgRk-mGxs,23.0000,14000.0000,Rent,0,a7Fz1JOC-Ovfc,Debtconsolidation,C,1500.0000,11.013104465037149,0,0.11,5eRFUbNG-LUv2,Y,4.0000
0g7M0qhC-I6EQ,26.0000,75000.0000,Rent,2,QObwPbTq-0c5q,Personal,C,16000.0000,13.35,0,0.21,btKWsiaB-UD8w,Y,2.0000
s75pWmDa-xzk8,24.0000,56000.0000,Mortgage,2,rUuBZnop-TJ2p,Education,C,5250.0000,12.87,0,0.09,gePvbdiY-2COW,N,2.0000
2DYBhjLz-rzYp,27.0000,26400.0000,Rent,2,Nd1041IF-hIoH,Medical,A,2000.0000,6.54,0,0.08,FCm54ZbT-XIfG,N,10.0000
8Tsr0i5k-7xf1,34.0000,91000.0000,Mortgage,19,p57B4ScE-RWt5,Venture,B,15000.0000,11.013104465037149,0,0.16,m9zS7hED-OogB,N,10.0000
scTZnna2-sKAr,22.0000,34000.0000,Mortgage,6,NXmbqj5w-08mb,Venture,D,15000.0000,15.99,1,0.44,BqhFPN34-7Tgh,Y,2.0000
zF1bshNZ-FRnj,36.0000,32004.0000,Rent,3,WvOi7bdP-HhRc,Venture,B,5000.0000,10.62,0,0.16,Blu96Hto-kjNz,N,15.0000
3uHGb138-Wgzc,24.0000,45000.0000,Rent,8,QNrT4YkB-dxhH,Medical,E,20000.0000,11.013104465037149,1,0.44,l2SmoPH5-zg2g,N,2.0000
G5TRYDPA-qxYL,24.0000,29004.0000,Rent,4,6fHGYU4B-4PNX,Education,A,5000.0000,6.92,1,0.17,PbR6Y7TH-4oe3,N,3.0000
3WJPPaUe-uaML,23.0000,98000.0000,Rent,0,lk33Hcjz-gLo8,Education,E,10000.0000,16.4,1,0.1,OdvqMRpk-Dx70,N,2.0000
LmwskARR-HyA3,21.0000,41900.0000,Rent,2,0YpSbTgj-CZKT,Venture,C,16000.0000,12.84,1,0.38,j3jnnG3T-iF3N,Y,2.0000
uMI5lnzZ-YqUr,30.0000,98000.0000,Rent,14,bzfrW7od-6cXU,Personal,C,8525.0000,10.78,1,0.09,5yCsTgGs-EkEf,N,9.0000
RrrJ9QKY-KELW,30.0000,62304.0000,Rent,3,3JARyEvA-hmFa,Education,D,11000.0000,11.013104465037149,0,0.18,OBhcjg6X-6AYp,N,9.0000
nZH23yxA-D49w,25.0000,60000.0000,Rent,1,QU5n4N3A-mdGf,Venture,A,8400.0000,7.29,0,0.14,aZ993ae3-GoZZ,N,2.0000
rbtfgZPW-tBIa,29.0000,43200.0000,Rent,4,Bjn8BXLT-4yu3,Education,C,1600.0000,13.49,0,0.04,QlatNUuI-pj1H,N,10.0000
rab9Ff8j-XYqI,23.0000,60000.0000,Rent,0,njPidLt8-wjG5,Venture,A,8400.0000,7.49,0,0.14,e4sGSB0W-WsLj,N,3.0000
iqlcgRD2-gmNO,33.0000,60000.0000,Mortgage,1,zyaUiBA2-QSLh,Venture,D,17000.0000,16.07,0,0.28,xPGUrQas-OkJC,Y,5.0000
5GliNI6X-APt4,23.0000,25000.0000,Rent,0,DSF0kyqw-ICnQ,Personal,A,2500.0000,6.91,0,0.1,rPGe52Oi-ZaYW,N,2.0000
kPl3SlT3-gzCN,21.0000,75000.0000,Rent,5,QeHNWQo2-KfPE,Medical,B,15000.0000,10.37,0,0.2,1cbaO1OZ-rrUK,N,4.0000
uZlF4dqv-hY7d,25.0000,29000.0000,Rent,5,eipmYDTU-Folk,Venture,A,10000.0000,7.49,1,0.34,XlTG9BxQ-sRYG,N,2.0000
sbgD8YYz-InAm,26.0000,32956.0000,Own,10,LjMstY2m-zAJE,Medical,A,25000.0000,11.013104465037149,0,0.17022825037310413,sLGulbdP-UWbs,N,4.0000
6gvkMnO6-uuqJ,27.0000,55200.0000,Own,4,neElFqPi-j5eC,Education,B,4000.0000,11.013104465037149,0,0.07,KvWZcfUs-8W1E,N,10.0000
UgR4tvID-FkK7,25.0000,43200.0000,Rent,3,Kgz96sRx-Rqtc,Venture,C,3000.0000,13.8,0,0.07,7agW3GNv-CH5u,N,2.0000
UlvcCPz5-N7me,22.0000,24000.0000,Mortgage,5,QuJlgUFE-Qo5z,Education,A,5000.0000,7.9,0,0.21,w1mthW44-OSyP,N,2.0000
cc3wv8uE-fRxD,30.0000,10800.0000,Own,4.787874228975478,xjqEnye2-0mE0,Education,B,2400.0000,9.99,1,0.22,CoBbS8rp-fkxK,N,7.0000
ztQZeTGe-DoxO,42.0000,60000.0000,Rent,1,QcMEE1mO-nlvl,Personal,E,15000.0000,11.013104465037149,1,0.25,okDzOilv-W8hr,Y,15.0000
ZMJ0TT31-qyR2,26.0000,43200.0000,Rent,5,vpZNv5FR-kpg3,Education,C,3200.0000,14.35,0,0.07,Ih1xSMaH-yKWD,Y,4.0000
3AbzodvI-K2gj,31.0000,165000.0000,Mortgage,3,aaEpZ9Hf-UtMU,Homeimprovement,C,15000.0000,12.61,0,0.09,n3LKTSPU-N8Uo,N,7.0000
eN3QA6iM-wz0Z,23.0000,64500.0000,Mortgage,0,hpg14bXo-nz2a,Medical,A,10000.0000,11.013104465037149,0,0.16,eQHJfsNl-34mE,N,4.0000
jb2LEXLe-Jrjd,26.0000,29040.0000,Rent,2,WmXvzSfk-pjXi,Education,B,15000.0000,9.62,1,0.52,j60q3pRe-076L,N,4.0000
o6mELtk2-D6w8,36.0000,24000.0000,Mortgage,2,o4P4s9g8-zrLp,Debtconsolidation,A,1500.0000,9.63,0,0.06,a2Yd1SZQ-zF8G,N,16.0000
ljGF5rN4-cpPJ,33.0000,44000.0000,Rent,3,FE7OzTmy-4iz1,Medical,B,2725.0000,12.18,1,0.06,EsAT1kgP-2hzc,N,6.0000
Af6D9iZa-cOqL,25.0000,70000.0000,Rent,1,uqKLAfKW-nAk0,Venture,A,5750.0000,8,0,0.08,4atKuGoJ-vpH7,N,4.0000
MBj3Xjl6-IFcx,36.0000,55200.0000,Rent,3,Tt9AvUmL-0SoA,Medical,D,9900.0000,14.84,1,0.18,C5u17fYU-Q7fi,Y,13.0000
qYZjnZTj-S2pA,30.0000,40000.0000,Rent,4,858XFQtN-UiXQ,Venture,C,4500.0000,14.26,0,0.11,svg8odFf-HK2Q,Y,6.0000
C1z2eWEB-rCR8,25.0000,82560.0000,Rent,6,oPdgizsR-A37I,Debtconsolidation,A,4500.0000,7.42,0,0.05,0PZscGxH-IOSj,N,3.0000
Kb4PsvNv-SGZE,31.0000,40000.0000,Own,0,WTWrFsEz-5pSh,Medical,D,15000.0000,15.31,0,0.38,Yn70yTJ8-Uq0M,Y,10.0000
bJNvNByL-bulA,25.0000,155000.0000,Mortgage,9,8hWEWTjS-RzO6,Medical,A,18000.0000,7.51,0,0.12,TZnTXZ7C-qADZ,N,2.0000
YIHuehGl-eWpc,29.0000,175000.0000,Mortgage,2,IHcxHFyD-ddZE,Homeimprovement,A,10000.0000,11.013104465037149,0,0.06,CRO9thKh-NYDn,N,9.0000
ndgUXZ25-4cDO,33.0000,19200.0000,Rent,4.787874228975478,TPTQCpN9-F7f1,Personal,B,6000.0000,10.65,1,0.31,oUvFpzGY-3pez,N,6.0000
RzaXqEZh-9mBG,26.0000,38004.0000,Mortgage,3,JiTqJTYt-o0n4,Venture,C,10000.0000,13.35,0,0.26,tNrRARx7-dxGS,N,2.0000
7RNTB8kM-f94f,23.0000,30000.0000,Rent,0,y7AjG48v-ZPjl,Education,C,5000.0000,11.013104465037149,0,0.17,ugcWDzJE-GYwM,N,3.0000
6vfPmChu-iHcT,24.0000,54000.0000,Mortgage,8,7G2nTxYI-pFRt,Venture,D,1500.0000,14.42,1,0.03,RJZchcG0-rlhG,Y,2.0000
qOcqMw7e-cSEm,24.0000,60000.0000,Rent,8,KZ88A61W-pFpI,Personal,D,20000.0000,13.87,1,0.33,uDYkqUoH-hRNe,N,4.0000
Ni5D522h-hf8J,28.0000,65000.0000,Mortgage,6,INY9LF2P-UAEp,Personal,D,22000.0000,15.65,0,0.34,NEM2GyJH-iA8y,N,5.0000
BYmg43Fi-Mvaj,21.0000,40000.0000,Rent,3,i536G5cd-egh3,Education,D,7000.0000,14.46,0,0.17,M2sgMabi-q39B,N,3.0000
HHAk1O2c-CfSD,31.0000,42000.0000,Rent,2,gowRJZDi-o4Mk,Medical,A,7000.0000,7.9,0,0.17,OqGcisXj-7GB0,N,7.0000
WyMywUZd-WtEU,26.0000,28800.0000,Rent,4,fkdREc6l-hJtO,Medical,A,7000.0000,5.42,0,0.24,SyNpRWMf-IBFE,N,4.0000
Xqu9oDNW-RLBx,22.0000,94200.0000,Mortgage,6,0hp1CtqO-eBTT,Personal,B,20000.0000,8.88,0,0.21,dDxAXA0Z-vqXP,N,2.0000
tFMiNmqD-7n8m,27.0000,185232.0000,Mortgage,10,sBAtAbCh-mlrF,Personal,A,35000.0000,11.013104465037149,0,0.19,HX1QO8HM-NIXq,N,8.0000
ju323piP-XFCm,35.0000,29568.0000,Mortgage,6,Y9n0IbZh-B1Ho,Personal,C,6000.0000,13.23,0,0.2,OkJvs1H2-2SCo,Y,10.0000
L2ED40Pu-tqWn,24.0000,80000.0000,Mortgage,6,G070Tsjs-kTrB,Homeimprovement,C,7000.0000,14.65,0,0.09,xvaoWhPg-NobU,N,4.0000
9lgpuyhI-BqaK,24.0000,85000.0000,Rent,6,3oCDjpQh-rQz8,Personal,C,10000.0000,13.72,0,0.12,dfFDLHBX-IBLX,Y,2.0000
0gXaKyOO-ckdF,24.0000,95000.0000,Rent,8,pGs5ySOL-WFIp,Personal,D,17200.0000,17.58,0,0.18,v0BaIqrq-yjOK,N,3.0000
fNSuDNnf-70lT,33.0000,60000.0000,Own,4.787874228975478,TRgEgWt1-S4qu,Education,C,10000.0000,13.98,0,0.17,uQdOlJXo-itvO,Y,6.0000
40EP3UGE-bqYD,24.0000,36996.0000,Mortgage,7,GGOcjIuZ-KI0D,Personal,D,7800.0000,11.013104465037149,0,0.21,DHYoUdFm-3G1e,Y,3.0000
sIhBUyUD-OZ8R,35.0000,39000.0000,Rent,5,FxwcjBAa-qFAG,Personal,B,10625.0000,11.013104465037149,0,0.27,WDA4yhZ4-giZM,N,9.0000
sshB2Y6q-HZlx,25.0000,72893.0000,Mortgage,9,n2vpquGb-uELg,Personal,C,20000.0000,13.22,0,0.27,8Es6aPbA-kObU,N,2.0000
HKshaX7U-tsye,24.0000,48000.0000,Mortgage,4,27rgINSd-jcL4,Education,A,5000.0000,5.99,0,0.1,WWMa3GtJ-fyw6,N,2.0000
2rjOROlp-6aqe,23.0000,37000.0000,Rent,7,2Y2TGrwj-Je3s,Education,B,3000.0000,10.75,1,0.08,wLvaCyJv-G07a,N,4.0000
glQaK54h-cWBR,34.0000,68000.0000,Rent,5,APifGMpO-oTQC,Homeimprovement,A,14400.0000,8.59,0,0.21,3LU2Yalv-eqM2,N,5.0000
K0yyoBoU-57jo,25.0000,33280.0000,Rent,1,f2Q8AnbR-JY61,Medical,B,5500.0000,11.013104465037149,0,0.17,OdkuY78i-N7hw,N,4.0000
tHhovZu7-yAyc,29.0000,220000.0000,Mortgage,13,0eLybnh2-aE9r,Debtconsolidation,B,8500.0000,10.37,0,0.04,I4PWxFFm-Dx3k,N,5.0000
2YlOM1b3-YIkJ,22.0000,96000.0000,Rent,4,FD8tLF5K-PBsh,Education,B,3150.0000,6,0,0.03,JhJKpSZm-vE2v,N,2.0000
tbKteagJ-bMZ1,33.0000,120000.0000,Mortgage,6,aOaXP6ro-eUfF,Medical,A,4500.0000,5.99,0,0.04,Dd2Hvoud-Gr6k,N,5.0000
4PRwRYGo-prv6,31.0000,24000.0000,Rent,2,8Bx7e7G3-pnc0,Medical,A,1800.0000,8.59,0,0.07,yUbJ1Mpi-NPjC,N,6.0000
8PmXI7ia-QAoh,27.0000,102000.0000,Rent,2,bLOM4QWZ-zpOI,Homeimprovement,A,10150.0000,11.013104465037149,0,0.1,RdUFOJ76-3x23,N,6.0000
1ocpbjSJ-z6di,31.0000,135000.0000,Mortgage,12,fO7Hnf3c-rglN,Education,C,15000.0000,13.85,0,0.11,j1isnOuI-vt4H,Y,9.0000
ANN47XHN-EOX5,26.0000,48000.0000,Mortgage,10,27uDdIB2-XCm3,Venture,C,13800.0000,13.49,0,0.29,zEHz8Zcg-8BZE,Y,2.0000
kfwxAY2o-qxxz,24.0000,28932.0000,Mortgage,4,2rgCOvED-fSE5,Personal,C,10000.0000,11.013104465037149,0,0.35,j60BlQ8k-i22z,Y,2.0000
KIvdCByJ-p5at,29.0000,93000.0000,Rent,1,zwKsstc9-CFIt,Homeimprovement,B,10000.0000,11.14,0,0.11,ADynUtSq-dkbP,N,8.0000
wpaSB5mK-kq19,24.0000,28800.0000,Mortgage,5,7ek2yq4J-Oup6,Debtconsolidation,C,5500.0000,11.013104465037149,0,0.19,zUuTLI6x-LSXE,Y,3.0000
dQ4ZZDas-08zN,26.0000,64000.0000,Mortgage,9,Fg5uaXT2-QfQm,Debtconsolidation,D,8000.0000,12.17,1,0.13,PwLwSUnc-0jii,N,4.0000
